ID;Autor;Buch;Jahr
B1225;Mark Twain;Adventures of Huckleberry Finn;1901
B1226;Mark Twain;Adventures of Huckleberry Finn;1895
B1227;Virginia Woolf;Mrs Dalloway;1937
B1228;Virginia Woolf;Mrs Dalloway;1928
B1229;Virginia Woolf;Mrs Dalloway;1939
B1230;Virginia Woolf;To the Lighthouse;1944
B1231;Virginia Woolf;To the Lighthouse;1940
B1232;Virginia Woolf;To the Lighthouse;1934
B1233;Virginia Woolf;To the Lighthouse;1941
B1234;Virginia Woolf;To the Lighthouse;1939
B1235;Virginia Woolf;Orlando;1940
B1236;Virginia Woolf;Orlando;1932
B1237;Virginia Woolf;Orlando;1928
B1238;Virginia Woolf;Orlando;1932
B1239;J.R.R. Tolkien;The Hobbit;1948
B1240;J.R.R. Tolkien;The Hobbit;1955
B1241;J.R.R. Tolkien;The Hobbit;1948
B1242;J.R.R. Tolkien;The Fellowship of the Ring;1966
B1243;J.R.R. Tolkien;The Fellowship of the Ring;1972
B1244;J.R.R. Tolkien;The Two Towers;1962
B1245;J.R.R. Tolkien;The Two Towers;1969
B1246;J.R.R. Tolkien;The Two Towers;1974
B1247;J.R.R. Tolkien;The Two Towers;1973
B1248;J.R.R. Tolkien;The Two Towers;1956
B1249;J.R.R. Tolkien;The Return of the King;1957
B1250;J.R.R. Tolkien;The Return of the King;1963
B1251;J.R.R. Tolkien;The Return of the King;1956
B1252;J.R.R. Tolkien;The Return of the King;1975
B1253;J.R.R. Tolkien;The Return of the King;1967
B1254;Agatha Christie;Murder on the Orient Express;1941
B1255;Agatha Christie;Murder on the Orient Express;1939
B1256;Agatha Christie;Murder on the Orient Express;1938
B1257;Agatha Christie;Death on the Nile;1954
B1258;Agatha Christie;Death on the Nile;1947
B1259;Agatha Christie;Death on the Nile;1946
B1260;Agatha Christie;The Murder of Roger Ackroyd;1939
B1261;Agatha Christie;The Murder of Roger Ackroyd;1939
B1262;Agatha Christie;The Murder of Roger Ackroyd;1934
B1263;Leo Tolstoy;War and Peace;1885
B1264;Leo Tolstoy;War and Peace;1886
B1265;Leo Tolstoy;War and Peace;1879
B1266;Leo Tolstoy;War and Peace;1889
B1267;Leo Tolstoy;Anna Karenina;1881
B1268;Leo Tolstoy;Anna Karenina;1885
B1269;Stephen King;The Shining;1986
B1270;Stephen King;The Shining;1994
B1271;Stephen King;The Shining;1977
B1272;Stephen King;The Shining;1986
B1273;Stephen King;The Shining;1989
B1274;Stephen King;It;1986
B1275;Stephen King;It;1991
B1276;Stephen King;It;2003
B1277;Stephen King;Misery;1998
B1278;Stephen King;Misery;1987
B1279;Stephen King;Misery;1994
B1280;Stephen King;The Dark Tower;1995
B1281;Stephen King;The Dark Tower;2001
B1282;Stephen King;The Dark Tower;1993
B1283;Stephen King;The Dark Tower;1991
B1284;Isaac Asimov;Foundation;1957
B1285;Isaac Asimov;Foundation;1961
B1286;Isaac Asimov;Foundation;1970
B1287;Isaac Asimov;Foundation;1958
B1288;Isaac Asimov;Foundation;1959
B1289;Isaac Asimov;I, Robot;1953
B1290;Isaac Asimov;I, Robot;1959
B1291;Isaac Asimov;I, Robot;1965
B1292;Isaac Asimov;The End of Eternity;1961
B1293;Isaac Asimov;The End of Eternity;1956
B1294;Isaac Asimov;The End of Eternity;1964
B1295;Isaac Asimov;The End of Eternity;1974
B1296;Isaac Asimov;The End of Eternity;1958
B1297;Jane Austen;Pride and Prejudice;1822
B1298;Jane Austen;Pride and Prejudice;1827
B1299;Jane Austen;Pride and Prejudice;1813
B1300;Jane Austen;Pride and Prejudice;1824
B1301;Jane Austen;Pride and Prejudice;1816
B1302;Jane Austen;Emma;1818
B1303;Jane Austen;Emma;1828
B1304;Jane Austen;Emma;1835
B1305;Jane Austen;Emma;1835
B1306;Jane Austen;Sense and Sensibility;1826
B1307;Jane Austen;Sense and Sensibility;1812
B1308;Jane Austen;Sense and Sensibility;1824
B1309;Jane Austen;Sense and Sensibility;1817
B1310;Jane Austen;Sense and Sensibility;1820
B1311;George Orwell;1984;1953
B1312;George Orwell;1984;1968
B1313;George Orwell;1984;1968
B1314;George Orwell;1984;1950
B1315;George Orwell;1984;1969
B1316;George Orwell;Animal Farm;1953
B1317;George Orwell;Animal Farm;1965
B1318;George Orwell;Animal Farm;1965
B1319;George Orwell;Animal Farm;1953
B1320;George Orwell;Animal Farm;1959
B1321;Charles Dickens;A Tale of Two Cities;1861
B1322;Charles Dickens;A Tale of Two Cities;1876
B1323;Charles Dickens;Great Expectations;1871
B1324;Charles Dickens;Great Expectations;1864
B1325;Charles Dickens;Great Expectations;1873
B1326;Charles Dickens;Oliver Twist;1841
B1327;Charles Dickens;Oliver Twist;1858
B1328;Charles Dickens;Oliver Twist;1855
B1329;Charles Dickens;Oliver Twist;1843
B1330;Charles Dickens;Oliver Twist;1845
B1331;Mark Twain;The Adventures of Tom Sawyer;1888
B1332;Mark Twain;The Adventures of Tom Sawyer;1881
B1333;Mark Twain;The Adventures of Tom Sawyer;1887
B1334;Mark Twain;The Adventures of Tom Sawyer;1882
B1335;Mark Twain;Adventures of Huckleberry Finn;1892
B1336;Mark Twain;Adventures of Huckleberry Finn;1888
B1337;Mark Twain;Adventures of Huckleberry Finn;1902
B1338;Virginia Woolf;Mrs Dalloway;1935
B1339;Virginia Woolf;Mrs Dalloway;1945
B1340;Virginia Woolf;Mrs Dalloway;1934
B1341;Virginia Woolf;Mrs Dalloway;1945
B1342;Virginia Woolf;Mrs Dalloway;1935
B1343;Virginia Woolf;To the Lighthouse;1944
B1344;Virginia Woolf;To the Lighthouse;1945
B1345;Virginia Woolf;Orlando;1941
B1346;Virginia Woolf;Orlando;1942
B1347;J.R.R. Tolkien;The Hobbit;1949
B1348;J.R.R. Tolkien;The Hobbit;1954
B1349;J.R.R. Tolkien;The Hobbit;1945
B1350;J.R.R. Tolkien;The Hobbit;1949
B1351;J.R.R. Tolkien;The Fellowship of the Ring;1962
B1352;J.R.R. Tolkien;The Fellowship of the Ring;1959
B1353;J.R.R. Tolkien;The Two Towers;1959
B1354;J.R.R. Tolkien;The Two Towers;1964
B1355;J.R.R. Tolkien;The Two Towers;1961
B1356;J.R.R. Tolkien;The Return of the King;1967
B1357;J.R.R. Tolkien;The Return of the King;1975
B1358;Agatha Christie;Murder on the Orient Express;1945
B1359;Agatha Christie;Murder on the Orient Express;1944
B1360;Agatha Christie;Death on the Nile;1953
B1361;Agatha Christie;Death on the Nile;1950
B1362;Agatha Christie;Death on the Nile;1953
B1363;Agatha Christie;Death on the Nile;1941
B1364;Agatha Christie;The Murder of Roger Ackroyd;1927
B1365;Agatha Christie;The Murder of Roger Ackroyd;1932
B1366;Agatha Christie;The Murder of Roger Ackroyd;1931
B1367;Agatha Christie;The Murder of Roger Ackroyd;1946
B1368;Agatha Christie;The Murder of Roger Ackroyd;1941
B1369;Leo Tolstoy;War and Peace;1870
B1370;Leo Tolstoy;War and Peace;1875
B1371;Leo Tolstoy;War and Peace;1869
B1372;Leo Tolstoy;War and Peace;1877
B1373;Leo Tolstoy;Anna Karenina;1879
B1374;Leo Tolstoy;Anna Karenina;1890
B1375;Stephen King;The Shining;1987
B1376;Stephen King;The Shining;1993
B1377;Stephen King;The Shining;1985
B1378;Stephen King;The Shining;1995
B1379;Stephen King;It;2002
B1380;Stephen King;It;1988
B1381;Stephen King;It;1995
B1382;Stephen King;Misery;1990
B1383;Stephen King;Misery;1987
B1384;Stephen King;Misery;1995
B1385;Stephen King;The Dark Tower;1984
B1386;Stephen King;The Dark Tower;1984
B1387;Isaac Asimov;Foundation;1960
B1388;Isaac Asimov;Foundation;1967
B1389;Isaac Asimov;Foundation;1962
B1390;Isaac Asimov;Foundation;1954
B1391;Isaac Asimov;I, Robot;1959
B1392;Isaac Asimov;I, Robot;1955
B1393;Isaac Asimov;I, Robot;1970
B1394;Isaac Asimov;The End of Eternity;1966
B1395;Isaac Asimov;The End of Eternity;1963
B1396;Isaac Asimov;The End of Eternity;1974
B1397;Isaac Asimov;The End of Eternity;1965
B1398;Jane Austen;Pride and Prejudice;1817
B1399;Jane Austen;Pride and Prejudice;1814
B1400;Jane Austen;Pride and Prejudice;1832
B1401;Jane Austen;Pride and Prejudice;1833
B1402;Jane Austen;Emma;1832
B1403;Jane Austen;Emma;1816
B1404;Jane Austen;Emma;1821
B1405;Jane Austen;Emma;1835
B1406;Jane Austen;Emma;1833
B1407;Jane Austen;Sense and Sensibility;1816
B1408;Jane Austen;Sense and Sensibility;1822
B1409;George Orwell;1984;1958
B1410;George Orwell;1984;1950
B1411;George Orwell;Animal Farm;1960
B1412;George Orwell;Animal Farm;1948
B1413;George Orwell;Animal Farm;1950
B1414;George Orwell;Animal Farm;1946
B1415;George Orwell;Animal Farm;1958
B1416;Charles Dickens;A Tale of Two Cities;1875
B1417;Charles Dickens;A Tale of Two Cities;1869
B1418;Charles Dickens;A Tale of Two Cities;1866
B1419;Charles Dickens;A Tale of Two Cities;1866
B1420;Charles Dickens;Great Expectations;1871
B1421;Charles Dickens;Great Expectations;1862
B1422;Charles Dickens;Great Expectations;1876
B1423;Charles Dickens;Great Expectations;1875
B1424;Charles Dickens;Great Expectations;1878
B1425;Charles Dickens;Oliver Twist;1844
B1426;Charles Dickens;Oliver Twist;1848
B1427;Charles Dickens;Oliver Twist;1842
B1428;Charles Dickens;Oliver Twist;1842
B1429;Mark Twain;The Adventures of Tom Sawyer;1895
B1430;Mark Twain;The Adventures of Tom Sawyer;1888
B1431;Mark Twain;The Adventures of Tom Sawyer;1883
B1432;Mark Twain;Adventures of Huckleberry Finn;1902
B1433;Mark Twain;Adventures of Huckleberry Finn;1901
B1434;Mark Twain;Adventures of Huckleberry Finn;1892
B1435;Virginia Woolf;Mrs Dalloway;1941
B1436;Virginia Woolf;Mrs Dalloway;1937
B1437;Virginia Woolf;To the Lighthouse;1929
B1438;Virginia Woolf;To the Lighthouse;1945
B1439;Virginia Woolf;To the Lighthouse;1942
B1440;Virginia Woolf;Orlando;1936
B1441;Virginia Woolf;Orlando;1939
B1442;Virginia Woolf;Orlando;1947
B1443;Virginia Woolf;Orlando;1937
B1444;Virginia Woolf;Orlando;1928
B1445;J.R.R. Tolkien;The Hobbit;1949
B1446;J.R.R. Tolkien;The Hobbit;1947
B1447;J.R.R. Tolkien;The Hobbit;1953
B1448;J.R.R. Tolkien;The Fellowship of the Ring;1971
B1449;J.R.R. Tolkien;The Fellowship of the Ring;1972
B1450;J.R.R. Tolkien;The Fellowship of the Ring;1960
B1451;J.R.R. Tolkien;The Fellowship of the Ring;1972
B1452;J.R.R. Tolkien;The Fellowship of the Ring;1971
B1453;J.R.R. Tolkien;The Two Towers;1961
B1454;J.R.R. Tolkien;The Two Towers;1962
B1455;J.R.R. Tolkien;The Two Towers;1967
B1456;J.R.R. Tolkien;The Two Towers;1973
B1457;J.R.R. Tolkien;The Two Towers;1956
B1458;J.R.R. Tolkien;The Return of the King;1974
B1459;J.R.R. Tolkien;The Return of the King;1955
B1460;Agatha Christie;Murder on the Orient Express;1940
B1461;Agatha Christie;Murder on the Orient Express;1949
B1462;Agatha Christie;Murder on the Orient Express;1938
B1463;Agatha Christie;Death on the Nile;1946
B1464;Agatha Christie;Death on the Nile;1940
B1465;Agatha Christie;Death on the Nile;1937
B1466;Agatha Christie;Death on the Nile;1956
B1467;Agatha Christie;Death on the Nile;1940
B1468;Agatha Christie;The Murder of Roger Ackroyd;1936
B1469;Agatha Christie;The Murder of Roger Ackroyd;1937
B1470;Agatha Christie;The Murder of Roger Ackroyd;1940
B1471;Leo Tolstoy;War and Peace;1889
B1472;Leo Tolstoy;War and Peace;1886
B1473;Leo Tolstoy;War and Peace;1871
B1474;Leo Tolstoy;War and Peace;1872
B1475;Leo Tolstoy;War and Peace;1888
B1476;Leo Tolstoy;Anna Karenina;1890
B1477;Leo Tolstoy;Anna Karenina;1883
B1478;Stephen King;The Shining;1990
B1479;Stephen King;The Shining;1987
B1480;Stephen King;It;2000
B1481;Stephen King;It;2003
B1482;Stephen King;Misery;1996
B1483;Stephen King;Misery;1999
B1484;Stephen King;Misery;1995
B1485;Stephen King;Misery;1990
B1486;Stephen King;The Dark Tower;1995
B1487;Stephen King;The Dark Tower;1985
B1488;Stephen King;The Dark Tower;1999
B1489;Isaac Asimov;Foundation;1971
B1490;Isaac Asimov;Foundation;1955
B1491;Isaac Asimov;Foundation;1966
B1492;Isaac Asimov;I, Robot;1963
B1493;Isaac Asimov;I, Robot;1966
B1494;Isaac Asimov;I, Robot;1964
B1495;Isaac Asimov;I, Robot;1952
B1496;Isaac Asimov;I, Robot;1956
B1497;Isaac Asimov;The End of Eternity;1971
B1498;Isaac Asimov;The End of Eternity;1964
B1499;Isaac Asimov;The End of Eternity;1974
B1500;Jane Austen;Pride and Prejudice;1813
B1501;Jane Austen;Pride and Prejudice;1832
B1502;Jane Austen;Pride and Prejudice;1826
B1503;Jane Austen;Emma;1823
B1504;Jane Austen;Emma;1819
B1505;Jane Austen;Emma;1817
B1506;Jane Austen;Emma;1833
B1507;Jane Austen;Emma;1831
B1508;Jane Austen;Sense and Sensibility;1812
B1509;Jane Austen;Sense and Sensibility;1811
B1510;George Orwell;1984;1957
B1511;George Orwell;1984;1969
B1512;George Orwell;1984;1969
B1513;George Orwell;1984;1955
B1514;George Orwell;1984;1953
B1515;George Orwell;Animal Farm;1959
B1516;George Orwell;Animal Farm;1960
B1517;George Orwell;Animal Farm;1952
B1518;Charles Dickens;A Tale of Two Cities;1862
B1519;Charles Dickens;A Tale of Two Cities;1859
B1520;Charles Dickens;A Tale of Two Cities;1863
B1521;Charles Dickens;Great Expectations;1881
B1522;Charles Dickens;Great Expectations;1872
B1523;Charles Dickens;Great Expectations;1873
B1524;Charles Dickens;Great Expectations;1873
B1525;Charles Dickens;Great Expectations;1870
B1526;Charles Dickens;Oliver Twist;1842
B1527;Charles Dickens;Oliver Twist;1838
B1528;Charles Dickens;Oliver Twist;1858
B1529;Charles Dickens;Oliver Twist;1856
B1530;Charles Dickens;Oliver Twist;1848
B1531;Mark Twain;The Adventures of Tom Sawyer;1879
B1532;Mark Twain;The Adventures of Tom Sawyer;1881
B1533;Mark Twain;The Adventures of Tom Sawyer;1890
B1534;Mark Twain;The Adventures of Tom Sawyer;1889
B1535;Mark Twain;Adventures of Huckleberry Finn;1887
B1536;Mark Twain;Adventures of Huckleberry Finn;1896
B1537;Mark Twain;Adventures of Huckleberry Finn;1905
B1538;Mark Twain;Adventures of Huckleberry Finn;1903
B1539;Mark Twain;Adventures of Huckleberry Finn;1887
B1540;Virginia Woolf;Mrs Dalloway;1933
B1541;Virginia Woolf;Mrs Dalloway;1931
B1542;Virginia Woolf;Mrs Dalloway;1939
B1543;Virginia Woolf;Mrs Dalloway;1944
B1544;Virginia Woolf;Mrs Dalloway;1934
B1545;Virginia Woolf;To the Lighthouse;1943
B1546;Virginia Woolf;To the Lighthouse;1939
B1547;Virginia Woolf;To the Lighthouse;1944
B1548;Virginia Woolf;To the Lighthouse;1936
B1549;Virginia Woolf;To the Lighthouse;1938
B1550;Virginia Woolf;Orlando;1938
B1551;Virginia Woolf;Orlando;1941
B1552;J.R.R. Tolkien;The Hobbit;1939
B1553;J.R.R. Tolkien;The Hobbit;1945
B1554;J.R.R. Tolkien;The Hobbit;1956
B1555;J.R.R. Tolkien;The Hobbit;1955
B1556;J.R.R. Tolkien;The Hobbit;1948
B1557;J.R.R. Tolkien;The Fellowship of the Ring;1974
B1558;J.R.R. Tolkien;The Fellowship of the Ring;1961
B1559;J.R.R. Tolkien;The Two Towers;1958
B1560;J.R.R. Tolkien;The Two Towers;1960
B1561;J.R.R. Tolkien;The Two Towers;1971
B1562;J.R.R. Tolkien;The Two Towers;1969
B1563;J.R.R. Tolkien;The Return of the King;1959
B1564;J.R.R. Tolkien;The Return of the King;1959
B1565;J.R.R. Tolkien;The Return of the King;1965
B1566;J.R.R. Tolkien;The Return of the King;1974
B1567;J.R.R. Tolkien;The Return of the King;1970
B1568;Agatha Christie;Murder on the Orient Express;1942
B1569;Agatha Christie;Murder on the Orient Express;1938
B1570;Agatha Christie;Death on the Nile;1943
B1571;Agatha Christie;Death on the Nile;1947
B1572;Agatha Christie;Death on the Nile;1944
B1573;Agatha Christie;The Murder of Roger Ackroyd;1940
B1574;Agatha Christie;The Murder of Roger Ackroyd;1937
B1575;Leo Tolstoy;War and Peace;1878
B1576;Leo Tolstoy;War and Peace;1886
B1577;Leo Tolstoy;War and Peace;1882
B1578;Leo Tolstoy;War and Peace;1871
B1579;Leo Tolstoy;War and Peace;1872
B1580;Leo Tolstoy;Anna Karenina;1890
B1581;Leo Tolstoy;Anna Karenina;1884
B1582;Leo Tolstoy;Anna Karenina;1879
B1583;Leo Tolstoy;Anna Karenina;1882
B1584;Leo Tolstoy;Anna Karenina;1885
B1585;Stephen King;The Shining;1986
B1586;Stephen King;The Shining;1988
B1587;Stephen King;The Shining;1977
B1588;Stephen King;The Shining;1985
B1589;Stephen King;The Shining;1977
B1590;Stephen King;It;1998
B1591;Stephen King;It;2005
B1592;Stephen King;It;2003
B1593;Stephen King;It;2001
B1594;Stephen King;It;1990
B1595;Stephen King;Misery;2003
B1596;Stephen King;Misery;2004
B1597;Stephen King;Misery;1992
B1598;Stephen King;Misery;1988
B1599;Stephen King;Misery;1995
B1600;Stephen King;The Dark Tower;1989
B1601;Stephen King;The Dark Tower;1999
B1602;Stephen King;The Dark Tower;1995
B1603;Stephen King;The Dark Tower;1996
B1604;Isaac Asimov;Foundation;1961
B1605;Isaac Asimov;Foundation;1965
B1606;Isaac Asimov;I, Robot;1968
B1607;Isaac Asimov;I, Robot;1966
B1608;Isaac Asimov;I, Robot;1954
B1609;Isaac Asimov;The End of Eternity;1960
B1610;Isaac Asimov;The End of Eternity;1963
B1611;Isaac Asimov;The End of Eternity;1974
B1612;Isaac Asimov;The End of Eternity;1974
B1613;Jane Austen;Pride and Prejudice;1822
B1614;Jane Austen;Pride and Prejudice;1819
B1615;Jane Austen;Pride and Prejudice;1821
B1616;Jane Austen;Pride and Prejudice;1822
B1617;Jane Austen;Emma;1819
B1618;Jane Austen;Emma;1820
B1619;Jane Austen;Sense and Sensibility;1822
B1620;Jane Austen;Sense and Sensibility;1828
B1621;George Orwell;1984;1951
B1622;George Orwell;1984;1958
B1623;George Orwell;1984;1963
B1624;George Orwell;1984;1969
B1625;George Orwell;Animal Farm;1956
B1626;George Orwell;Animal Farm;1957
B1627;George Orwell;Animal Farm;1947
B1628;Charles Dickens;A Tale of Two Cities;1877
B1629;Charles Dickens;A Tale of Two Cities;1872
B1630;Charles Dickens;A Tale of Two Cities;1862
B1631;Charles Dickens;A Tale of Two Cities;1866
B1632;Charles Dickens;Great Expectations;1870
B1633;Charles Dickens;Great Expectations;1864
B1634;Charles Dickens;Great Expectations;1868
B1635;Charles Dickens;Great Expectations;1878
B1636;Charles Dickens;Great Expectations;1881
B1637;Charles Dickens;Oliver Twist;1853
B1638;Charles Dickens;Oliver Twist;1850
B1639;Mark Twain;The Adventures of Tom Sawyer;1894
B1640;Mark Twain;The Adventures of Tom Sawyer;1878
B1641;Mark Twain;The Adventures of Tom Sawyer;1894
B1642;Mark Twain;Adventures of Huckleberry Finn;1893
B1643;Mark Twain;Adventures of Huckleberry Finn;1903
B1644;Mark Twain;Adventures of Huckleberry Finn;1901
B1645;Mark Twain;Adventures of Huckleberry Finn;1901
B1646;Mark Twain;Adventures of Huckleberry Finn;1905
B1647;Virginia Woolf;Mrs Dalloway;1931
B1648;Virginia Woolf;Mrs Dalloway;1928
B1649;Virginia Woolf;To the Lighthouse;1938
B1650;Virginia Woolf;To the Lighthouse;1928
B1651;Virginia Woolf;Orlando;1941
B1652;Virginia Woolf;Orlando;1947
B1653;Virginia Woolf;Orlando;1934
B1654;J.R.R. Tolkien;The Hobbit;1951
B1655;J.R.R. Tolkien;The Hobbit;1939
B1656;J.R.R. Tolkien;The Hobbit;1946
B1657;J.R.R. Tolkien;The Fellowship of the Ring;1971
B1658;J.R.R. Tolkien;The Fellowship of the Ring;1970
B1659;J.R.R. Tolkien;The Fellowship of the Ring;1973
B1660;J.R.R. Tolkien;The Fellowship of the Ring;1971
B1661;J.R.R. Tolkien;The Two Towers;1959
B1662;J.R.R. Tolkien;The Two Towers;1954
B1663;J.R.R. Tolkien;The Two Towers;1972
B1664;J.R.R. Tolkien;The Return of the King;1968
B1665;J.R.R. Tolkien;The Return of the King;1973
B1666;Agatha Christie;Murder on the Orient Express;1947
B1667;Agatha Christie;Murder on the Orient Express;1940
B1668;Agatha Christie;Death on the Nile;1954
B1669;Agatha Christie;Death on the Nile;1948
B1670;Agatha Christie;Death on the Nile;1939
B1671;Agatha Christie;Death on the Nile;1954
B1672;Agatha Christie;The Murder of Roger Ackroyd;1932
B1673;Agatha Christie;The Murder of Roger Ackroyd;1945
B1674;Leo Tolstoy;War and Peace;1873
B1675;Leo Tolstoy;War and Peace;1879
B1676;Leo Tolstoy;War and Peace;1874
B1677;Leo Tolstoy;War and Peace;1882
B1678;Leo Tolstoy;Anna Karenina;1880
B1679;Leo Tolstoy;Anna Karenina;1891
B1680;Leo Tolstoy;Anna Karenina;1897
B1681;Leo Tolstoy;Anna Karenina;1879
B1682;Stephen King;The Shining;1984
B1683;Stephen King;The Shining;1985
B1684;Stephen King;The Shining;1995
B1685;Stephen King;The Shining;1992
B1686;Stephen King;It;2003
B1687;Stephen King;It;2005
B1688;Stephen King;It;1998
B1689;Stephen King;Misery;1992
B1690;Stephen King;Misery;2003
B1691;Stephen King;The Dark Tower;1986
B1692;Stephen King;The Dark Tower;1985
B1693;Isaac Asimov;Foundation;1966
B1694;Isaac Asimov;Foundation;1964
B1695;Isaac Asimov;Foundation;1961
B1696;Isaac Asimov;Foundation;1958
B1697;Isaac Asimov;Foundation;1958
B1698;Isaac Asimov;I, Robot;1965
B1699;Isaac Asimov;I, Robot;1965
B1700;Isaac Asimov;I, Robot;1958
B1701;Isaac Asimov;The End of Eternity;1967
B1702;Isaac Asimov;The End of Eternity;1962
B1703;Jane Austen;Pride and Prejudice;1829
B1704;Jane Austen;Pride and Prejudice;1827
B1705;Jane Austen;Emma;1829
B1706;Jane Austen;Emma;1819
B1707;Jane Austen;Emma;1834
B1708;Jane Austen;Emma;1816
B1709;Jane Austen;Sense and Sensibility;1820
B1710;Jane Austen;Sense and Sensibility;1826
B1711;Jane Austen;Sense and Sensibility;1829
B1712;Jane Austen;Sense and Sensibility;1816
B1713;George Orwell;1984;1953
B1714;George Orwell;1984;1969
B1715;George Orwell;1984;1960
B1716;George Orwell;Animal Farm;1948
B1717;George Orwell;Animal Farm;1949
B1718;Charles Dickens;A Tale of Two Cities;1859
B1719;Charles Dickens;A Tale of Two Cities;1865
B1720;Charles Dickens;A Tale of Two Cities;1869
B1721;Charles Dickens;A Tale of Two Cities;1874
B1722;Charles Dickens;A Tale of Two Cities;1866
B1723;Charles Dickens;Great Expectations;1873
B1724;Charles Dickens;Great Expectations;1869
B1725;Charles Dickens;Great Expectations;1870
B1726;Charles Dickens;Great Expectations;1876
B1727;Charles Dickens;Oliver Twist;1855
B1728;Charles Dickens;Oliver Twist;1838
B1729;Mark Twain;The Adventures of Tom Sawyer;1876
B1730;Mark Twain;The Adventures of Tom Sawyer;1894
B1731;Mark Twain;Adventures of Huckleberry Finn;1896
B1732;Mark Twain;Adventures of Huckleberry Finn;1888
B1733;Virginia Woolf;Mrs Dalloway;1944
B1734;Virginia Woolf;Mrs Dalloway;1930
B1735;Virginia Woolf;Mrs Dalloway;1933
B1736;Virginia Woolf;Mrs Dalloway;1934
B1737;Virginia Woolf;Mrs Dalloway;1934
B1738;Virginia Woolf;To the Lighthouse;1934
B1739;Virginia Woolf;To the Lighthouse;1937
B1740;Virginia Woolf;To the Lighthouse;1939
B1741;Virginia Woolf;To the Lighthouse;1946
B1742;Virginia Woolf;Orlando;1947
B1743;Virginia Woolf;Orlando;1944
B1744;J.R.R. Tolkien;The Hobbit;1955
B1745;J.R.R. Tolkien;The Hobbit;1941
B1746;J.R.R. Tolkien;The Hobbit;1950
B1747;J.R.R. Tolkien;The Hobbit;1957
B1748;J.R.R. Tolkien;The Fellowship of the Ring;1955
B1749;J.R.R. Tolkien;The Fellowship of the Ring;1974
B1750;J.R.R. Tolkien;The Fellowship of the Ring;1956
B1751;J.R.R. Tolkien;The Fellowship of the Ring;1956
B1752;J.R.R. Tolkien;The Fellowship of the Ring;1974
B1753;J.R.R. Tolkien;The Two Towers;1962
B1754;J.R.R. Tolkien;The Two Towers;1969
B1755;J.R.R. Tolkien;The Two Towers;1967
B1756;J.R.R. Tolkien;The Two Towers;1956
B1757;J.R.R. Tolkien;The Two Towers;1963
B1758;J.R.R. Tolkien;The Return of the King;1956
B1759;J.R.R. Tolkien;The Return of the King;1969
B1760;J.R.R. Tolkien;The Return of the King;1968
B1761;J.R.R. Tolkien;The Return of the King;1963
B1762;Agatha Christie;Murder on the Orient Express;1937
B1763;Agatha Christie;Murder on the Orient Express;1937
B1764;Agatha Christie;Death on the Nile;1953
B1765;Agatha Christie;Death on the Nile;1949
B1766;Agatha Christie;The Murder of Roger Ackroyd;1930
B1767;Agatha Christie;The Murder of Roger Ackroyd;1929
B1768;Agatha Christie;The Murder of Roger Ackroyd;1927
B1769;Agatha Christie;The Murder of Roger Ackroyd;1937
B1770;Agatha Christie;The Murder of Roger Ackroyd;1940
B1771;Leo Tolstoy;War and Peace;1889
B1772;Leo Tolstoy;War and Peace;1874
B1773;Leo Tolstoy;War and Peace;1877
B1774;Leo Tolstoy;War and Peace;1884
B1775;Leo Tolstoy;Anna Karenina;1889
B1776;Leo Tolstoy;Anna Karenina;1889
B1777;Leo Tolstoy;Anna Karenina;1895
B1778;Stephen King;The Shining;1996
B1779;Stephen King;The Shining;1981
B1780;Stephen King;It;1986
B1781;Stephen King;It;2005
B1782;Stephen King;It;1995
B1783;Stephen King;It;1997
B1784;Stephen King;Misery;1997
B1785;Stephen King;Misery;2002
B1786;Stephen King;Misery;2003
B1787;Stephen King;Misery;1993
B1788;Stephen King;Misery;1992
B1789;Stephen King;The Dark Tower;1982
B1790;Stephen King;The Dark Tower;1999
B1791;Stephen King;The Dark Tower;1992
B1792;Stephen King;The Dark Tower;1996
B1793;Isaac Asimov;Foundation;1954
B1794;Isaac Asimov;Foundation;1961
B1795;Isaac Asimov;Foundation;1954
B1796;Isaac Asimov;Foundation;1962
B1797;Isaac Asimov;Foundation;1954
B1798;Isaac Asimov;I, Robot;1957
B1799;Isaac Asimov;I, Robot;1958
B1800;Isaac Asimov;The End of Eternity;1969
B1801;Isaac Asimov;The End of Eternity;1970
B1802;Isaac Asimov;The End of Eternity;1967
B1803;Isaac Asimov;The End of Eternity;1961
B1804;Isaac Asimov;The End of Eternity;1966
B1805;Jane Austen;Pride and Prejudice;1829
B1806;Jane Austen;Pride and Prejudice;1827
B1807;Jane Austen;Pride and Prejudice;1826
B1808;Jane Austen;Pride and Prejudice;1828
B1809;Jane Austen;Emma;1826
B1810;Jane Austen;Emma;1820
B1811;Jane Austen;Emma;1831
B1812;Jane Austen;Emma;1834
B1813;Jane Austen;Emma;1831
B1814;Jane Austen;Sense and Sensibility;1811
B1815;Jane Austen;Sense and Sensibility;1812
B1816;Jane Austen;Sense and Sensibility;1823
B1817;George Orwell;1984;1960
B1818;George Orwell;1984;1965
B1819;George Orwell;1984;1964
B1820;George Orwell;Animal Farm;1958
B1821;George Orwell;Animal Farm;1958
B1822;Charles Dickens;A Tale of Two Cities;1859
B1823;Charles Dickens;A Tale of Two Cities;1867
B1824;Charles Dickens;A Tale of Two Cities;1878
B1825;Charles Dickens;A Tale of Two Cities;1859
B1826;Charles Dickens;Great Expectations;1881
